,Itemsets,Freq
0,['Banana'],18726
1,['Bag of Organic Bananas'],15480
2,['Organic Strawberries'],10894
3,['Organic Baby Spinach'],9784
4,['Large Lemon'],8135
5,['Organic Avocado'],7409
6,['Organic Hass Avocado'],7293
7,['Strawberries'],6494
8,['Limes'],6033
9,['Organic Raspberries'],5546
10,['Organic Blueberries'],4966
11,['Organic Whole Milk'],4908
12,['Organic Cucumber'],4613
13,['Organic Zucchini'],4589
14,['Organic Yellow Onion'],4290
15,['Organic Garlic'],4158
16,['Seedless Red Grapes'],4059
17,['Asparagus'],3868
18,['Organic Grape Tomatoes'],3823
19,['Organic Red Onion'],3818
